ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
A009,8.0,001-009.99,Intestinal infection
A010,8.5,001-009.99,Intestinal infection
A011,8.0,001-009.99,Intestinal infection
A012,8.0,001-009.99,Intestinal infection
A013,8.0,001-009.99,Intestinal infection
A014,8.0,001-009.99,Intestinal infection
A020,8.5,001-009.99,Intestinal infection
A021,38.1,010-041.99,bacterial infection
A022,8.5,001-009.99,Intestinal infection
A028,8.5,001-009.99,Intestinal infection
A029,8.5,001-009.99,Intestinal infection
A031,8.5,001-009.99,Intestinal infection
A032,8.5,001-009.99,Intestinal infection
A033,8.5,001-009.99,Intestinal infection
A038,8.5,001-009.99,Intestinal infection
A039,8.5,001-009.99,Intestinal infection
A040,8.51,001-009.99,Intestinal infection
A041,8.51,001-009.99,Intestinal infection
A042,8.51,001-009.99,Intestinal infection
A043,8.51,001-009.99,Intestinal infection
A044,8.51,001-009.99,Intestinal infection
A045,8.5,001-009.99,Intestinal infection
A046,8.5,001-009.99,Intestinal infection
A047,8.52,001-009.99,Intestinal infection
A048,8.5,001-009.99,Intestinal infection
A049,8.5,001-009.99,Intestinal infection
A051,8.5,001-009.99,Intestinal infection
A052,8.5,001-009.99,Intestinal infection
A053,8.5,001-009.99,Intestinal infection
A054,8.5,001-009.99,Intestinal infection
A058,8.5,001-009.99,Intestinal infection
A059,8.0,001-009.99,Intestinal infection
A060,8.0,001-009.99,Intestinal infection
A061,8.7,001-009.99,Intestinal infection
A062,8.0,001-009.99,Intestinal infection
A064,8.0,001-009.99,Intestinal infection
A066,8.0,001-009.99,Intestinal infection
A067,8.0,001-009.99,Intestinal infection
A069,8.0,001-009.99,Intestinal infection
A071,8.7,001-009.99,Intestinal infection
A072,8.7,001-009.99,Intestinal infection
A073,8.0,001-009.99,Intestinal infection
A078,8.7,001-009.99,Intestinal infection
A079,8.0,001-009.99,Intestinal infection
A080,8.6,001-009.99,Intestinal infection
A081,8.6,001-009.99,Intestinal infection
A082,8.6,001-009.99,Intestinal infection
A083,8.6,001-009.99,Intestinal infection
A084,8.6,001-009.99,Intestinal infection
A085,8.6,001-009.99,Intestinal infection
A09,8.0,001-009.99,Intestinal infection
A150,10.0,010-041.99,bacterial infection
A151,10.0,010-041.99,bacterial infection
A152,10.0,010-041.99,bacterial infection
A153,10.0,010-041.99,bacterial infection
A154,10.0,010-041.99,bacterial infection
A155,10.0,010-041.99,bacterial infection
A156,10.0,010-041.99,bacterial infection
