,features,id,names,category
0,f.10004.-1.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
1,f.10004.-3.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
2,f.10004.-7.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
3,f.10004.1.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
4,f.10004.2.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
5,f.10004.3.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
6,f.10004.4.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
7,f.10004.5.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",Medication
8,f.10005.-1.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
9,f.10005.-3.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
10,f.10005.-7.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
11,f.10005.1.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
12,f.10005.2.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
13,f.10005.3.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
14,f.10005.4.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",Medication
15,f.10006.-3.0,10006,Mouth/teeth dental problems (pilot),Mouth
16,f.10006.-7.0,10006,Mouth/teeth dental problems (pilot),Mouth
17,f.10006.1.0,10006,Mouth/teeth dental problems (pilot),Mouth
18,f.10006.2.0,10006,Mouth/teeth dental problems (pilot),Mouth
19,f.10006.3.0,10006,Mouth/teeth dental problems (pilot),Mouth
20,f.10006.4.0,10006,Mouth/teeth dental problems (pilot),Mouth
21,f.10007.-3.0,10007,Vitamin and mineral supplements (pilot),Medication
22,f.10007.-7.0,10007,Vitamin and mineral supplements (pilot),Medication
23,f.10007.1.0,10007,Vitamin and mineral supplements (pilot),Medication
24,f.10007.2.0,10007,Vitamin and mineral supplements (pilot),Medication
25,f.10007.3.0,10007,Vitamin and mineral supplements (pilot),Medication
26,f.10007.4.0,10007,Vitamin and mineral supplements (pilot),Medication
27,f.10007.5.0,10007,Vitamin and mineral supplements (pilot),Medication
28,f.10007.6.0,10007,Vitamin and mineral supplements (pilot),Medication
29,f.10721.-1.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
30,f.10721.-3.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
31,f.10721.-7.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
32,f.10721.1.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
33,f.10721.2.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
34,f.10721.3.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
35,f.10721.4.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
36,f.10721.5.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
37,f.10721.6.0,10721,"Illness, injury, bereavement, stress in last 2 years (pilot)",Mental health
38,f.10722.-3.0,10722,Qualifications (pilot),Education
39,f.10722.-7.0,10722,Qualifications (pilot),Education
40,f.10722.1.0,10722,Qualifications (pilot),Education
41,f.10722.2.0,10722,Qualifications (pilot),Education
42,f.10722.3.0,10722,Qualifications (pilot),Education
43,f.10722.4.0,10722,Qualifications (pilot),Education
44,f.10722.5.0,10722,Qualifications (pilot),Education
45,f.10723.-3.0,10723,Vitamin supplements (pilot),Medication
46,f.10723.-7.0,10723,Vitamin supplements (pilot),Medication
47,f.10723.1.0,10723,Vitamin supplements (pilot),Medication
48,f.10723.2.0,10723,Vitamin supplements (pilot),Medication
49,f.10723.3.0,10723,Vitamin supplements (pilot),Medication
50,f.10723.4.0,10723,Vitamin supplements (pilot),Medication
51,f.10723.5.0,10723,Vitamin supplements (pilot),Medication
52,f.10723.6.0,10723,Vitamin supplements (pilot),Medication
53,f.10854.-3.0,10854,Other dietary supplements (pilot),Medication
54,f.10854.-7.0,10854,Other dietary supplements (pilot),Medication
55,f.10854.1.0,10854,Other dietary supplements (pilot),Medication
56,f.10854.2.0,10854,Other dietary supplements (pilot),Medication
57,f.10854.3.0,10854,Other dietary supplements (pilot),Medication
